id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
197677,Oshiage Holiday Apartment,964081,Yoshimi & Marek,,Sumida Ku,35.71707,139.82608,Entire home/apt,11000,3,165,2020-03-04,1.26,1,286,0,M130003350
776070,Kero-kero house room 1,801494,Kei,,Kita Ku,35.73844,139.76917,Private room,9466,3,228,2020-01-18,1.96,1,268,0,M130000243
1016831,WOMAN ONLY LICENSED ! Cosy & Cat behnd Shibuya,5596383,Wakana,,Setagaya Ku,35.658,139.67134,Private room,11000,1,211,2020-03-16,1.88,1,137,0,M130001107
1196177,Stay with host Cozy private room Senju area,5686404,Yukiko,,Adachi Ku,35.74475,139.79731,Private room,40000,2,95,2020-03-17,0.88,1,89,0,M130007760
5080877,Decoboco( Artist's Studio  the second floor),21769906,Decoboco,,Koto Ku,35.68162,139.81859,Entire home/apt,6500,1,234,2020-02-27,2.60,2,0,0,Hotels and Inns Business Act | 江東区保健所 | ３０江健生環き第８５号
1249571,Unique stay! New&1min to the subway,6809418,Yume,,Shibuya Ku,35.65111,139.72165,Entire home/apt,32571,4,105,2022-06-01,0.98,1,304,3,M130000957
1263000,SHIBUYA 7 MINS  AMAZING HOST（for woman only）,6876728,Haruko,,Setagaya Ku,35.60742,139.67616,Private room,6000,3,185,2019-12-31,1.69,1,0,0,M130000057
5128293,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー 6F-3 シェアまたはグループ用,8142772,Min & Haru,,Shinjuku Ku,35.69872,139.70276,Shared room,3909,2,136,2022-05-05,1.51,11,179,2,M130002186
1298200,Pine House 2 Bed Room + 2 Toilets,6606987,K & N,,Katsushika Ku,35.73987,139.85176,Entire home/apt,11000,1,343,2022-01-30,3.13,2,228,4,M130009943
5198467,Wonderful Japanese style OTOME! (*´ω｀),25911199,Aya,,Bunkyo Ku,35.72129,139.76323,Entire home/apt,28000,1,36,2022-05-19,0.40,1,181,1,M130017222
5210118,Designer's Flat - Shibuya YOYOGI park 10mins #1,24477517,Naoko,,Shibuya Ku,35.66339,139.68741,Entire home/apt,18000,2,228,2021-07-10,2.59,4,0,1,M130005397
1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,,Shinjuku Ku,35.70263,139.74147,Entire home/apt,28293,2,165,2022-03-22,1.56,2,206,3,M130003681
